prize,winner,date,gender,description
Nobel Prize in Physiology or Medicine,Shinya Yamanaka,2012-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Nobel Prize in Physiology or Medicine,Martin Evans,2007-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Nobel Prize in Physiology or Medicine,John Gurdon,2012-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
National Medal of Science,James E. Darnell,2002-01-01T00:00:00Z,male,science award
National Medal of Science,Mary-Claire King,2014-01-01T00:00:00Z,female,science award
Nordic Council Environment Prize,Torleif Ingelög,1995-01-01T00:00:00Z,male,award
Nobel Prize in Physiology or Medicine,Jules Bordet,1919-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Gottfried Wilhelm Leibniz Prize,Stefan Treue,2010-01-01T00:00:00Z,male,research prize awarded by the Deutsche Forschungsgemeinschaft
Nobel Prize in Physiology or Medicine,Christian de Duve,1974-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Nobel Prize in Physiology or Medicine,Alexis Carrel,1912-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Nobel Prize in Physiology or Medicine,Christiane Nüsslein-Volhard,1995-01-01T00:00:00Z,female,one of five Nobel Prizes established in 1895 by Alfred Nobel
Gottfried Wilhelm Leibniz Prize,Marina Rodnina,2016-01-01T00:00:00Z,female,research prize awarded by the Deutsche Forschungsgemeinschaft
Nobel Prize in Physiology or Medicine,Jacques Monod,1965-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Ars legendi award for excellent university teaching,Martin Korte,2015-01-01T00:00:00Z,male,$null$
Dr A. H. Heineken Prize for Environmental Sciences,Paul D. N. Hebert,2018-01-01T00:00:00Z,male,$null$
Gottfried Wilhelm Leibniz Prize,Dietmar Vestweber,1998-01-01T00:00:00Z,male,research prize awarded by the Deutsche Forschungsgemeinschaft
Nobel Prize in Physiology or Medicine,Torsten Nils Wiesel,1981-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
National Medal of Science,Herbert Boyer,1990-01-01T00:00:00Z,male,science award
Gottfried Wilhelm Leibniz Prize,Hans-Georg Rammensee,1992-01-01T00:00:00Z,male,research prize awarded by the Deutsche Forschungsgemeinschaft
Nobel Prize in Physiology or Medicine,César Milstein,1984-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Nobel Prize in Physiology or Medicine,John Sulston,2002-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Nobel Prize in Physiology or Medicine,Camillo Golgi,1906-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Environment Prize,Michael Succow,2015-01-01T00:00:00Z,male,environmental award
Nobel Prize in Physiology or Medicine,Robert Koch,1905-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Nobel Prize in Physiology or Medicine,Bernardo Houssay,1947-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Gottfried Wilhelm Leibniz Prize,Wolf-Bernd Frommer,1998-01-01T00:00:00Z,male,research prize awarded by the Deutsche Forschungsgemeinschaft
Nobel Prize in Physiology or Medicine,Jeffrey C. Hall,2017-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Gottfried Wilhelm Leibniz Prize,Heinz Breer,1998-01-01T00:00:00Z,male,research prize awarded by the Deutsche Forschungsgemeinschaft
Nobel Prize in Physiology or Medicine,Günter Blobel,1999-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Environment Prize,Wolfgang Haber,1993-01-01T00:00:00Z,male,environmental award
Nobel Prize in Physiology or Medicine,Andrew Huxley,1963-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Nobel Prize in Physiology or Medicine,Albert Claude,1974-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Gottfried Wilhelm Leibniz Prize,Matthias Hentze,2000-01-01T00:00:00Z,male,research prize awarded by the Deutsche Forschungsgemeinschaft
Nobel Prize in Physiology or Medicine,Niko Tinbergen,1973-01-01T00:00:00Z,male,one of five Nobel Prizes established in 1895 by Alfred Nobel
Nobel Prize in Physiology or Medicine,Elizabeth Blackburn,2009-01-01T00:00:00Z,female,one of five Nobel Prizes established in 1895 by Alfred Nobel
