AWARD	PERSON	DATE	GENDER	DESCRIPTION
A. I. Virtanen Award	Melvin Calvin	1975-01-01T00:00:00Z	male	$null$
A.G. Huntsman Award for Excellence in the Marine Sciences	Jeffrey A. Hutchings	2017-01-01T00:00:00Z	male	medal awarded by the Royal Society of Canada
A.G. Huntsman Award for Excellence in the Marine Sciences	Katrina Edwards	2012-01-01T00:00:00Z	female	medal awarded by the Royal Society of Canada
A.G. Huntsman Award for Excellence in the Marine Sciences	Sallie W. Chisholm	2005-01-01T00:00:00Z	female	medal awarded by the Royal Society of Canada
A.G. Huntsman Award for Excellence in the Marine Sciences	Terry Hughes	2018-01-01T00:00:00Z	male	medal awarded by the Royal Society of Canada
A.O. Kovalevsky Medal	Denis Duboule	2013-01-01T00:00:00Z	male	$null$
A.O. Kovalevsky Medal	Günter P. Wagner	2016-01-01T00:00:00Z	male	$null$
A.O. Kovalevsky Medal	Scott F. Gilbert	2004-01-01T00:00:00Z	male	$null$
A.O. Kovalevsky Medal	Sean B. Carroll	2008-01-01T00:00:00Z	male	$null$
A.O. Kovalevsky Medal	Walter J. Gehring	2003-01-01T00:00:00Z	male	$null$
A.O. Kovalevsky Medal	William Jeffery	2012-01-01T00:00:00Z	male	$null$
AAAS Fellow	Alejandro Aballay	2013-01-01T00:00:00Z	male	award and fellowship
AAAS Fellow	Alice Barkan	2017-01-01T00:00:00Z	female	award and fellowship
AAAS Fellow	Andy Dobson	2012-01-01T00:00:00Z	male	award and fellowship
AAAS Fellow	Ann Richmond	2017-01-01T00:00:00Z	female	award and fellowship
AAAS Fellow	Carla Caceres	2017-01-01T00:00:00Z	female	award and fellowship
AAAS Fellow	Cheryl J. Briggs	2019-01-01T00:00:00Z	female	award and fellowship
AAAS Fellow	Corrie Moreau	2018-01-01T00:00:00Z	female	award and fellowship
AAAS Fellow	Corrie Moreau	2018-01-01T00:00:00Z	female	award and fellowship
AAAS Fellow	Diane M. Robins	2013-01-01T00:00:00Z	female	award and fellowship
AAAS Fellow	Dianna Padilla	2013-01-01T00:00:00Z	female	award and fellowship
AAAS Fellow	Donald Zak	2016-01-01T00:00:00Z	male	award and fellowship
AAAS Fellow	Donna M Fekete	2009-01-01T00:00:00Z	female	award and fellowship
AAAS Fellow	Douglas R. Cavener	2014-01-01T00:00:00Z	male	award and fellowship
AAAS Fellow	Ingrid Burke	2010-01-01T00:00:00Z	female	award and fellowship
AAAS Fellow	Irma Thesleff	2009-01-01T00:00:00Z	female	award and fellowship
AAAS Fellow	James Birchler	2002-01-01T00:00:00Z	male	award and fellowship
AAAS Fellow	Judith Vanhouten	2009-01-01T00:00:00Z	female	award and fellowship
AAAS Fellow	Karen McNulty Walsh	2018-01-01T00:00:00Z	female	award and fellowship
AAAS Fellow	Karen McNulty Walsh	2018-01-01T00:00:00Z	female	award and fellowship
AAAS Fellow	Kathryn Horwitz	2000-01-01T00:00:00Z	female	award and fellowship
AAAS Fellow	Kathryn Horwitz	2000-01-01T00:00:00Z	female	award and fellowship
