award id,person id,time,gender id,award,person,null,gender
wd:Q1031994,wd:Q4794835,2020-01-01T00:00:00Z,wd:Q6581072,Gairdner Foundation International Award,Mina Bissell,$null$,female
wd:Q1723512,wd:Q5218635,2008-01-01T00:00:00Z,wd:Q6581072,Sophie Prize,Gretchen Daily,$null$,female
wd:Q16968120,wd:Q6990034,2014-01-01T00:00:00Z,wd:Q6581072,Rachel Carson Award,Nell Newman,$null$,female
wd:Q1506625,wd:Q46795,1991-01-01T00:00:00Z,wd:Q6581072,Goldman Environmental Prize,Wangari Muta Maathai,$null$,female
wd:Q756994,wd:Q17501865,2002-01-01T00:00:00Z,wd:Q6581072,Darwin Medal,Rosemary Grant,$null$,female
wd:Q1316544,wd:Q4794835,1992-01-01T00:00:00Z,wd:Q6581072,John Simon Guggenheim Memorial Foundation Fellowship,Mina Bissell,$null$,female
wd:Q1061450,wd:Q194997,2013-01-01T00:00:00Z,wd:Q6581072,Champions of the Earth,Izabella Teixeira,$null$,female
wd:Q16968120,wd:Q439046,2009-01-01T00:00:00Z,wd:Q6581072,Rachel Carson Award,Sylvia Earle,$null$,female
wd:Q1061450,wd:Q179265,2005-01-01T00:00:00Z,wd:Q6581072,Champions of the Earth,Julia Carabias,$null$,female
wd:Q737051,wd:Q1690702,1986-01-01T00:00:00Z,wd:Q6581072,National Medal of Science,Joan A. Steitz,$null$,female
wd:Q1273466,wd:Q520992,2012-01-01T00:00:00Z,wd:Q6581072,E. B. Wilson Medal,Susan Lindquist,$null$,female
wd:Q703205,wd:Q1612297,2011-01-01T00:00:00Z,wd:Q6581072,Gottfried Wilhelm Leibniz Prize,Ulla Bonas,$null$,female
wd:Q80061,wd:Q35703,1988-01-01T00:00:00Z,wd:Q6581072,Nobel Prize in Physiology or Medicine,Gertrude B. Elion,$null$,female
wd:Q1892257,wd:Q242680,1997-01-01T00:00:00Z,wd:Q6581072,Tyler Prize for Environmental Achievement,Birutė Galdikas,$null$,female
wd:Q1210161,wd:Q516846,2004-01-01T00:00:00Z,wd:Q6581072,Dickson Prize in Medicine,Elaine Fuchs,$null$,female
wd:Q21041879,wd:Q439046,2010-01-01T00:00:00Z,wd:Q6581072,Hans Hass Award,Sylvia Earle,$null$,female
wd:Q477467,wd:Q436109,2009-01-01T00:00:00Z,wd:Q6581072,Gruber Prize in Genetics,Janet Rowley,$null$,female
wd:Q1031994,wd:Q26322,1998-01-01T00:00:00Z,wd:Q6581072,Gairdner Foundation International Award,Carol Greider,$null$,female
wd:Q999734,wd:Q77174,1991-01-01T00:00:00Z,wd:Q6581072,Albert Lasker Award for Basic Medical Research,Christiane Nüsslein-Volhard,$null$,female
wd:Q7996553,wd:Q8068992,2005-01-01T00:00:00Z,wd:Q6581072,Whitley Awards,Zena Tooze,$null$,female
wd:Q7941307,wd:Q5125242,2020-01-01T00:00:00Z,wd:Q6581072,Volvo Environment Prize,Claire Kremen,$null$,female
